genero;nivel_formacion;pais;rubro;dotacion;origen_capital;puesto;funcion_rh;anios_experiencia;tipo_contratacion;sueldo_bruto;satisfaccion;busqueda;tipo_cambio;multiplicador;sueldo_ft;sueldo_dolar;cuenta
Femenino;Universitario completo;Argentina;Servicios de salud;740;Nacional;Administrativo;Administración de personal;4;Full time;62600;3;Sí, activamente;83.89;1;62600;746.2152819167958;1
Femenino;Universitario completo;Argentina;"Servicios financieros; seguros";125;Nacional;Jefe;Generalista;10;Full time;162000;5;No estoy buscando cambiar;83.89;1;162000;1931.1002503278103;1
Femenino;Secundario completo;Argentina;Comercio;120;Multinacional;Responsable;Generalista;11;Full time;81000;4;No,  pero escucho ofertas;83.89;1;81000;965.5501251639051;1
Femenino;Universitario completo;Argentina;"Agricultura; plantaciones,otros sectores rurales";80;Nacional;Responsable;Generalista;4;Full time;51282;3;Sí, activamente;83.89;1;51282;611.3005125759923;1
Femenino;Universitario completo;Argentina;Construcción;500;Nacional;Analista;Generalista;9;Full time;90000;3;No,  pero escucho ofertas;83.89;1;90000;1072.833472404339;1
Femenino;Universitario completo;Argentina;Servicios de salud;44;Nacional;Analista;Administración de personal;1;Full time;37000;3;Sí, activamente;83.89;1;37000;441.05376087733936;1
Femenino;Universitario completo;Argentina;"Textiles; vestido; cuero; calzado";270;Multinacional;Jefe;Todo lo anterior;10;Full time;93000;3;No,  pero escucho ofertas;83.89;1;93000;1108.5945881511502;1
Femenino;Universitario completo;Uruguay;Comercio;45;Nacional;Responsable;Administración de personal, compensaciones, comunicación interna, diseño organizacional, generalista, reclutamiento y selección;1.5;Full time;55000;NA;NA;43.003;1;55000;1278.9805362416575;1
Femenino;Maestría en curso;Bolivia;Servicios profesionales;800;Multinacional;Jefe;Reclutamiento y selección;10;Full time;8000;2;Sí, activamente;6.96;1;8000;1149.4252873563219;1
Masculino;Universitario completo;Argentina;"Petróleo y producción de gas; refinación de petróleo";500;Nacional;Analista;Payroll / Liquidación de sueldos;8;Full time;70000;3;No estoy buscando cambiar;83.89;1;70000;834.4260340922636;1
Masculino;Maestría en curso;Argentina;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";150;Nacional;Responsable;Payroll / Liquidación de sueldos;2;Full time;66266;3;Sí, activamente;83.89;1;66266;789.9153653593992;1
Femenino;Universitario en curso;Argentina;Servicios de salud;6500;Nacional;Analista;Generalista;3;Full time;54000;3;Sí, activamente;83.89;1;54000;643.7000834426034;1
Masculino;Universitario completo;Argentina;Construcción;250;Nacional;Administrativo;Administración de personal;18;Full time;65000;4;No estoy buscando cambiar;83.89;1;65000;774.8241745142449;1
Femenino;Universitario completo;Argentina;Servicios de salud;460;Nacional;Gerente;Generalista;12;Full time;190000;3;No,  pero escucho ofertas;83.89;1;190000;2264.8706639647157;1
Femenino;Universitario completo;Argentina;Servicios de salud;7;Nacional;Jefe;Administración de personal;1;Part time;36500;5;No,  pero escucho ofertas;83.89;1.5;54750;652.6403623793062;1
Femenino;Universitario en curso;Argentina;Tecnologías de Información, Sistemas, y afines;100;Nacional;Jefe;Administración de personal;3;Full time;45000;3;No,  pero escucho ofertas;83.89;1;45000;536.4167362021695;1
Femenino;Secundario completo;Argentina;Otros;70;Nacional;Analista;Administración de personal;7;Full time;39000;1;Sí, activamente;83.89;1;39000;464.8945047085469;1
Femenino;Universitario completo;Perú;"Bancos; banca online;";1800;Multinacional;Administrativo;Capacitación y desarrollo;4;Plazo Fijo;1800;2;Sí, activamente;3.615;1;1800;497.9253112033195;1
Femenino;Terciario completo;Argentina;Servicios profesionales;4;Nacional;Administrativo;Payroll / Liquidación de sueldos;3;Full time;40000;3;Sí, activamente;83.89;1;40000;476.81487662415066;1
Masculino;Secundario completo;Argentina;Producción de metales básicos;3000;Multinacional;Gerente;Generalista;14;Full time;140000;NA;NA;83.89;1;140000;1668.8520681845273;1
Femenino;Universitario completo;Argentina;Construcción;80;Nacional;Administrativo;Generalista;1;Full time;15000;2;Sí, activamente;83.89;1;15000;178.8055787340565;1
Femenino;Universitario en curso;Argentina;Servicios de salud;135;Nacional;Administrativo;Generalista;6;Full time;57000;3;Sí, activamente;83.89;1;57000;679.4611991894147;1
Femenino;Universitario completo;Argentina;Otros;350;Nacional;Analista;Administración de personal;6;Full time;39600;1;Sí, activamente;83.89;1;39600;472.04672785790916;1
Femenino;Universitario en curso;Argentina;Tecnologías de Información, Sistemas, y afines;92;Nacional;Responsable;Generalista;4;Full time;98948;NA;NA;83.89;1;98948;1179.4969603051616;1
Masculino;Universitario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;800;Multinacional;HRBP;Generalista;5;Full time;90000;5;No,  pero escucho ofertas;83.89;1;90000;1072.833472404339;1
Femenino;Maestría completa;Argentina;Servicios de salud;250;Nacional;Jefe;Diseño organizacional;13;Full time;178000;NA;NA;83.89;1;178000;2121.8262009774703;1
Masculino;Maestría completa;Argentina;Tecnologías de Información, Sistemas, y afines;4000;Multinacional;Analista;Capacitación y desarrollo;12;Full time;75000;NA;NA;83.89;1;75000;894.0278936702825;1
Femenino;Maestría completa;Bolivia;Servicios de correos, y de telecomunicaciones;3000;Multinacional;Analista;Reclutamiento y selección;8;Full time;9000;5;No,  pero escucho ofertas;6.96;1;9000;1293.103448275862;1
Femenino;Universitario completo;Argentina;Otros;800;Nacional;Analista;Payroll / Liquidación de sueldos;3;Full time;46900;2;Sí, activamente;83.89;1;46900;559.0654428418167;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;23;Nacional;Analista;Generalista;5;Full time;65000;4;No estoy buscando cambiar;83.89;1;65000;774.8241745142449;1
Masculino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";600;Nacional;Jefe;Generalista;12;Full time;85000;3;Sí, activamente;83.89;1;85000;1013.2316128263202;1
Masculino;Secundario completo;Costa Rica;Fabricación de material de transporte;99;Multinacional;Director;Comunicación interna;8;Pasante;8;1;No,  pero escucho ofertas;616.32;1;8;0.012980269989615783;1
Masculino;Universitario en curso;Argentina;Terminales automotrices, fábricas autopartistas, y afines;382;Multinacional;Analista;Administración de personal;12;Full time;78000;5;No estoy buscando cambiar;83.89;1;78000;929.7890094170938;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;50;Nacional;Responsable;Reclutamiento y selección;7;Full time;120000;5;No estoy buscando cambiar;83.89;1;120000;1430.444629872452;1
Femenino;Terciario completo;Argentina;Otros;66;Nacional;Analista;Generalista;9;Full time;79000;NA;NA;83.89;1;79000;941.7093813326976;1
Masculino;Universitario completo;Argentina;Comercio;30;Nacional;Responsable;Administración de personal;2;Full time;48000;3;No estoy buscando cambiar;83.89;1;48000;572.1778519489808;1
Femenino;Secundario completo;Argentina;Comercio;120;Multinacional;Responsable;Generalista;11;Full time;81000;4;No,  pero escucho ofertas;83.89;1;81000;965.5501251639051;1
Femenino;Universitario completo;Argentina;Servicios profesionales;22;Nacional;Responsable;Payroll / Liquidación de sueldos;6;Full time;60000;4;No,  pero escucho ofertas;83.89;1;60000;715.222314936226;1
Femenino;Terciario completo;Argentina;Construcción;70;Nacional;Responsable;Payroll / Liquidación de sueldos;7;Full time;50000;NA;NA;83.89;1;50000;596.0185957801883;1
Femenino;Maestría en curso;Perú;Minería (carbón, otra minería);500;Nacional;Analista;Administración de personal;4;Plazo Fijo;3500;3;Sí, activamente;3.615;1;3500;968.1881051175657;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;24;Nacional;Responsable;Reclutamiento y selección;5;Full time;70000;4;No,  pero escucho ofertas;83.89;1;70000;834.4260340922636;1
Masculino;Universitario en curso;Argentina;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";4000;Nacional;Analista;Reclutamiento y selección;9;Full time;85000;NA;NA;83.89;1;85000;1013.2316128263202;1
Femenino;Universitario completo;Argentina;Servicios de consultoría;10000;Multinacional;Analista;Payroll / Liquidación de sueldos;4;Full time;67000;1;Sí, activamente;83.89;1;67000;798.6649183454524;1
Femenino;Maestría completa;Argentina;Tecnologías de Información, Sistemas, y afines;15000;Multinacional;HRBP;Onboarding, clima, cultura, liderazgo;8;Full time;130000;4;No,  pero escucho ofertas;83.89;1;130000;1549.6483490284897;1
Femenino;Terciario completo;Argentina;Tecnologías de Información, Sistemas, y afines;15;Nacional;Administrativo;Generalista;6;Full time;66700;4;No estoy buscando cambiar;83.89;1;66700;795.0888067707713;1
Femenino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";57;Multinacional;Responsable;Generalista;4;Full time;73000;3;No,  pero escucho ofertas;83.89;1;73000;870.187149839075;1
Femenino;Universitario en curso;Argentina;Servicios de consultoría;200;Nacional;Analista;Reclutamiento y selección;2;Full time;34086;4;No estoy buscando cambiar;83.89;1;34086;406.31779711526997;1
Masculino;Universitario completo;Argentina;"Petróleo y producción de gas; refinación de petróleo";300;Nacional;Analista;Payroll / Liquidación de sueldos;5;Full time;70000;NA;NA;83.89;1;70000;834.4260340922636;1
Femenino;Universitario completo;Argentina;Servicios de salud;1000;Nacional;Analista;Comunicación interna;5;Full time;65000;3;No,  pero escucho ofertas;83.89;1;65000;774.8241745142449;1
Masculino;Maestría en curso;Argentina;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";5500;Nacional;Jefe;Generalista;7;Full time;82500;3;No,  pero escucho ofertas;83.89;1;82500;983.4306830373108;1
Femenino;Universitario completo;Argentina;"Servicios públicos (agua;gas; electricidad)";1400;Nacional;Analista;Reclutamiento y selección;12;Full time;130000;3;No,  pero escucho ofertas;83.89;1;130000;1549.6483490284897;1
Masculino;Universitario completo;Argentina;Otros;170;Nacional;Jefe;Generalista;8;Full time;185000;4;No,  pero escucho ofertas;83.89;1;185000;2205.268804386697;1
Masculino;Universitario completo;Argentina;"Medios de comunicación; cultura; gráficos";700;Nacional;Responsable;Payroll / Liquidación de sueldos;10;Full time;102000;3;No,  pero escucho ofertas;83.89;1;102000;1215.8779353915843;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;90;Nacional;Analista;Generalista;5;Full time;64000;NA;NA;83.89;1;64000;762.903802598641;1
Femenino;Universitario completo;Argentina;Servicios de salud;270;Nacional;Analista;Generalista;5;Full time;56000;2;Sí, activamente;83.89;1;56000;667.5408272738109;1
Femenino;Universitario completo;Argentina;Servicios de salud;270;Nacional;Analista;Compensaciones y beneficios;3;Full time;51500;3;No,  pero escucho ofertas;83.89;1;51500;613.899153653594;1
Femenino;Maestría en curso;Argentina;Tecnologías de Información, Sistemas, y afines;3500;Multinacional;Analista;Legal;8;Full time;76000;1;Sí, activamente;83.89;1;76000;905.9482655858862;1
Masculino;Universitario completo;Uruguay;Servicios de consultoría;50;Nacional;Jefe;Payroll / Liquidación de sueldos;8;Full time;86000;5;No,  pero escucho ofertas;43.003;1;86000;1999.8604748505918;1
Femenino;Universitario en curso;Argentina;Educación;1300;Nacional;Analista;Reclutamiento y selección;3;Full time;62000;4;No,  pero escucho ofertas;83.89;1;62000;739.0630587674335;1
Femenino;Universitario completo;Argentina;Otros;200;Nacional;Gerente;Generalista;10;Full time;148000;4;No,  pero escucho ofertas;83.89;1;148000;1764.2150435093574;1
Masculino;Secundario completo;Argentina;Función pública;60000;Nacional;Responsable;No me desempeño en el área de RRHH. Trabajo en el área de Sistemas.;0;Part time;54000;NA;NA;83.89;1.5;81000;965.5501251639051;1
Femenino;Maestría completa;Argentina;Comercio;135;Multinacional;Jefe;Generalista;15;Full time;61697;3;Sí, activamente;83.89;1;61697;735.4511860770056;1
Femenino;Universitario en curso;Argentina;Comercio;150;Nacional;Responsable;Reclutamiento y selección;2;Full time;40000;3;No,  pero escucho ofertas;83.89;1;40000;476.81487662415066;1
Femenino;Maestría completa;Argentina;Servicios de consultoría;3;Nacional;Analista;Diseño organizacional;2;Part time;40000;4;No,  pero escucho ofertas;83.89;1.5;60000;715.222314936226;1
Femenino;Maestría en curso;Argentina;Comercio;350;Nacional;Responsable;Administración de personal;2;Full time;85000;NA;NA;83.89;1;85000;1013.2316128263202;1
Femenino;Universitario completo;Argentina;Otros;180;Nacional;Responsable;Comunicación interna;7;Full time;40000;4;Sí, activamente;83.89;1;40000;476.81487662415066;1
Masculino;Universitario completo;Argentina;Servicios de correos, y de telecomunicaciones;1850;Nacional;Analista;Administración de personal;4;Full time;58000;NA;NA;83.89;1;58000;691.3815711050185;1
Masculino;Universitario completo;Chile;Tecnologías de Información, Sistemas, y afines;170;Nacional;Jefe;Diseño organizacional;9;Full time;2300000;4;No,  pero escucho ofertas;770.45;1;2300000;2985.2683496657796;1
Femenino;Universitario completo;Argentina;Otros;308;Nacional;Analista;Reclutamiento y selección;8;Full time;93000;2;No,  pero escucho ofertas;83.89;1;93000;1108.5945881511502;1
Femenino;Universitario completo;Argentina;Construcción;137;Nacional;Responsable;Administración de personal;14;Full time;118000;2;Sí, activamente;83.89;1;118000;1406.6038860412446;1
Masculino;Terciario completo;Argentina;Otros;265;Multinacional;Analista;Administración de personal;12;Full time;79000;NA;NA;83.89;1;79000;941.7093813326976;1
Femenino;Universitario completo;Argentina;Comercio;100;Nacional;Responsable;Generalista;13;Full time;50000;NA;NA;83.89;1;50000;596.0185957801883;1
Femenino;Maestría completa;Argentina;Hotelería, restauración, turismo;45;Nacional;Responsable;Generalista;9;Full time;70000;2;Sí, activamente;83.89;1;70000;834.4260340922636;1
Masculino;Universitario en curso;Argentina;Terminales automotrices, fábricas autopartistas, y afines;500;Multinacional;HRBP;Relaciones laborales;10;Full time;110000;4;No,  pero escucho ofertas;83.89;1;110000;1311.2409107164144;1
Femenino;Universitario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;300;Nacional;Analista;Administración de personal;5;Full time;55000;3;No,  pero escucho ofertas;83.89;1;55000;655.6204553582072;1
Femenino;Universitario en curso;Argentina;Comercio;134;Nacional;Jefe;Generalista;11;Full time;75000;3;Sí, activamente;83.89;1;75000;894.0278936702825;1
Masculino;Maestría completa;México;Comercio;100000;Nacional;Analista;People Analytics;4;Full time;10110;2;No,  pero escucho ofertas;21.24;1;10110;475.9887005649718;1
Femenino;Universitario completo;Paraguay;Servicios de consultoría;130;Nacional;Responsable;Human Resources Project Leader;8;Full time;8000000;4;No estoy buscando cambiar;7027.74;1;8000000;1138.3460401210061;1
Femenino;Universitario en curso;Argentina;"Transporte marítimo; puertos;";1600;Multinacional;Analista;Administración de personal;2;Full time;60000;NA;NA;83.89;1;60000;715.222314936226;1
Femenino;Universitario completo;Argentina;Otros;200;Multinacional;Analista;Generalista;7;Full time;72500;4;No,  pero escucho ofertas;83.89;1;72500;864.226963881273;1
Femenino;Universitario completo;Argentina;Función pública;4000;Nacional;Analista;Desarrollo laboral: procesos Sofi, capacitacion, evaluación, desarrollo;12;Full time;66000;3;No,  pero escucho ofertas;83.89;1;66000;786.7445464298486;1
Femenino;Universitario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;300;Nacional;Analista;Administración de personal;5;Full time;55000;3;No,  pero escucho ofertas;83.89;1;55000;655.6204553582072;1
Masculino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;1600;Multinacional;Analista;Reclutamiento y selección;5;Full time;70000;5;No estoy buscando cambiar;83.89;1;70000;834.4260340922636;1
Femenino;Secundario completo;Argentina;Función pública;800;Nacional;Administrativo;Administración de personal;6;Full time;37000;4;No estoy buscando cambiar;83.89;1;37000;441.05376087733936;1
Femenino;Universitario en curso;Argentina;"Textiles; vestido; cuero; calzado";83;Nacional;Analista;Generalista;4;Full time;28000;2;Sí, activamente;83.89;1;28000;333.77041363690546;1
Femenino;Secundario completo;Argentina;Servicios de salud;55;Nacional;Responsable;Generalista;3;Full time;87000;3;No,  pero escucho ofertas;83.89;1;87000;1037.0723566575277;1
Femenino;Universitario en curso;Argentina;Servicios de salud;1200;Nacional;HRBP;Generalista;10;Full time;100000;1;Sí, activamente;83.89;1;100000;1192.0371915603766;1
Femenino;Universitario completo;Argentina;Comercio;30;Nacional;Responsable;Administración de personal;2;Part time;22000;2;Sí, activamente;83.89;1.5;33000;393.3722732149243;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;70;Multinacional;HRBP;Capacitación y desarrollo;2;Full time;57000;4;Sí, activamente;83.89;1;57000;679.4611991894147;1
Masculino;Secundario completo;Argentina;Educación;105;Nacional;Analista;Generalista;4;Full time;40000;3;No,  pero escucho ofertas;83.89;1;40000;476.81487662415066;1
Masculino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;44;Nacional;HRBP;Generalista;2;Full time;84000;5;No,  pero escucho ofertas;83.89;1;84000;1001.3112409107164;1
Femenino;Universitario completo;Argentina;"Petróleo y producción de gas; refinación de petróleo";10;Nacional;Responsable;Payroll / Liquidación de sueldos;4;Part time;48000;NA;NA;83.89;1.5;72000;858.2667779234712;1
Masculino;Universitario completo;Argentina;Servicios de consultoría;250;Multinacional;Analista;Payroll / Liquidación de sueldos;2;Tercerizado / Outsourced;65500;3;No,  pero escucho ofertas;83.89;1;65500;780.7843604720467;1
Masculino;Universitario completo;Argentina;Otros;120;Multinacional;Responsable;Administración de personal;6;Full time;72000;NA;NA;83.89;1;72000;858.2667779234712;1
Femenino;Terciario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;65;Nacional;Responsable;Generalista;5;Full time;48192;4;No,  pero escucho ofertas;83.89;1;48192;574.4665633567768;1
Masculino;Universitario completo;Argentina;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";95;Nacional;Jefe;Generalista;12;Full time;181000;2;No,  pero escucho ofertas;83.89;1;181000;2157.5873167242817;1
Femenino;Universitario completo;Argentina;Función pública;4000;Nacional;Analista;Generalista;7;Full time;38;3;No,  pero escucho ofertas;83.89;1;38;0.45297413279294313;1
Masculino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;14000;Nacional;Analista;People Analytics;7;Full time;110000;2;Sí, activamente;83.89;1;110000;1311.2409107164144;1
Femenino;Universitario completo;Uruguay;Tecnologías de Información, Sistemas, y afines;100;Nacional;HRBP;Reclutamiento y selección;6;Full time;56000;3;Sí, activamente;43.003;1;56000;1302.2347278096877;1
Femenino;Universitario completo;Argentina;Otros;370;Nacional;HRBP;Generalista;7;Full time;105000;3;Sí, activamente;83.89;1;105000;1251.6390511383954;1
Masculino;Maestría completa;Chile;"Bancos; banca online;";5200;Multinacional;Jefe;Compensaciones y beneficios;7;Full time;3600000;5;No,  pero escucho ofertas;770.45;1;3600000;4672.593938607307;1
Masculino;Terciario completo;Argentina;Otros;500;Nacional;Responsable;Capacitación y desarrollo;5;Full time;75000;4;No,  pero escucho ofertas;83.89;1;75000;894.0278936702825;1
Femenino;Universitario completo;Argentina;Otros;2400;Nacional;HRBP;Payroll / Liquidación de sueldos;8;Full time;50000;3;Sí, activamente;83.89;1;50000;596.0185957801883;1
Femenino;Universitario completo;Argentina;"Agricultura; plantaciones,otros sectores rurales";600;Nacional;Analista;Payroll / Liquidación de sueldos;7;Plazo Fijo;60000;4;No,  pero escucho ofertas;83.89;1;60000;715.222314936226;1
Femenino;Maestría en curso;Argentina;Otros;250;Nacional;Jefe;Generalista;18;Full time;75000;4;No,  pero escucho ofertas;83.89;1;75000;894.0278936702825;1
Femenino;Maestría completa;Argentina;Minería (carbón, otra minería);500;Multinacional;HRBP;Capacitación y desarrollo;12;Full time;85000;2;Sí, activamente;83.89;1;85000;1013.2316128263202;1
Femenino;Universitario en curso;Argentina;Comercio;94;Nacional;Administrativo;Administración de personal;1;Part time;30000;4;No,  pero escucho ofertas;83.89;1.5;45000;536.4167362021695;1
Femenino;Universitario completo;Argentina;Servicios de salud;30;Nacional;Responsable;Administración de personal;15;Full time;60000;3;Sí, activamente;83.89;1;60000;715.222314936226;1
Femenino;Universitario en curso;Argentina;"Alimentación; bebidas; tabaco";4000;Multinacional;Pasante;Generalista;0;Part time;25000;4;No,  pero escucho ofertas;83.89;1.5;37500;447.01394683514127;1
Femenino;Maestría completa;Argentina;"Alimentación; bebidas; tabaco";600;Nacional;Jefe;Generalista;20;Full time;150000;1;Sí, activamente;83.89;1;150000;1788.055787340565;1
Femenino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";10000;Nacional;Administrativo;Administración de personal;3;Full time;54506;3;No,  pero escucho ofertas;83.89;1;54506;649.7317916318989;1
Femenino;Maestría completa;Argentina;"Silvicultura; madera; celulosa; papel";80;Nacional;Jefe;General;24;Full time;96000;1;Sí, activamente;83.89;1;96000;1144.3557038979616;1
Femenino;Universitario completo;Argentina;Servicios de salud;1900;Nacional;Administrativo;Administración de personal;3;Full time;58000;3;No,  pero escucho ofertas;83.89;1;58000;691.3815711050185;1
Femenino;Universitario completo;Argentina;Servicios de consultoría;6;Nacional;Administrativo;Reclutamiento y selección;6;Full time;39000;2;Sí, activamente;83.89;1;39000;464.8945047085469;1
Masculino;Secundario completo;Argentina;Servicios de salud;15000;Nacional;Gerente;Diseño organizacional;18;Full time;145000;NA;NA;83.89;1;145000;1728.453927762546;1
Femenino;Maestría completa;Argentina;Industrias químicas;200;Nacional;Jefe;Relaciones laborales;15;Full time;140000;4;No estoy buscando cambiar;83.89;1;140000;1668.8520681845273;1
Femenino;Universitario completo;Argentina;Construcción;20;Nacional;Responsable;Payroll / Liquidación de sueldos;12;Full time;61000;1;Sí, activamente;83.89;1;61000;727.1426868518298;1
Femenino;Universitario completo;Argentina;Otros;250;Nacional;Analista;Generalista;9;Full time;60000;3;Sí, activamente;83.89;1;60000;715.222314936226;1
Femenino;Universitario en curso;Argentina;Servicios de consultoría;6;Multinacional;Administrativo;Reclutamiento y selección;3;Full time;55000;3;Sí, activamente;83.89;1;55000;655.6204553582072;1
Femenino;Universitario completo;Argentina;Servicios profesionales;190;Nacional;Responsable;Reclutamiento y selección;14;Full time;110000;4;No,  pero escucho ofertas;83.89;1;110000;1311.2409107164144;1
Femenino;Universitario completo;Argentina;Servicios de consultoría;200;Multinacional;HRBP;Generalista;8;Full time;101000;2;No,  pero escucho ofertas;83.89;1;101000;1203.9575634759804;1
Femenino;Universitario completo;Argentina;Servicios de salud;300;Nacional;Analista;Generalista;10;Full time;109000;3;No estoy buscando cambiar;83.89;1;109000;1299.3205388008105;1
Masculino;Maestría completa;Argentina;Servicios de salud;1000;Nacional;Gerente;Administración de personal;18;Full time;200000;4;No,  pero escucho ofertas;83.89;1;200000;2384.0743831207533;1
Masculino;Universitario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;1000;Multinacional;HRBP;Generalista;7;Full time;85000;5;No,  pero escucho ofertas;83.89;1;85000;1013.2316128263202;1
Femenino;Universitario completo;Argentina;Función pública;200;Nacional;Responsable;Capacitación y desarrollo;10;Full time;52000;4;No estoy buscando cambiar;83.89;1;52000;619.8593396113959;1
Masculino;Secundario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;600;Nacional;Analista;Administración de personal;10;Full time;60200;4;Sí, activamente;83.89;1;60200;717.6063893193467;1
Masculino;Universitario en curso;Argentina;Hotelería, restauración, turismo;3500;Multinacional;Analista;People Analytics;1;Full time;90000;5;No estoy buscando cambiar;83.89;1;90000;1072.833472404339;1
Femenino;Universitario en curso;Argentina;"Servicios financieros; seguros";230;Nacional;Analista;Diseño organizacional;4;Full time;50600;3;No,  pero escucho ofertas;83.89;1;50600;603.1708189295506;1
Masculino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;100;Nacional;Analista;People Analytics;14;Part time;48000;5;No estoy buscando cambiar;83.89;1.5;72000;858.2667779234712;1
Femenino;Secundario completo;Argentina;"Bancos; banca online;";110;Nacional;Analista;Administración de personal;7;Full time;75000;5;No estoy buscando cambiar;83.89;1;75000;894.0278936702825;1
Femenino;Terciario completo;Argentina;Educación;300;Nacional;Administrativo;Generalista;5;Tercerizado / Outsourced;21450;NA;NA;83.89;1;21450;255.6919775897008;1
Masculino;Maestría en curso;Argentina;Otros;2800;Multinacional;Jefe;Relaciones laborales;10;Full time;127000;3;Sí, activamente;83.89;1;127000;1513.8872332816784;1
Femenino;Secundario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;250;Multinacional;Administrativo;Generalista;1;Full time;42000;2;No,  pero escucho ofertas;83.89;1;42000;500.6556204553582;1
Masculino;Universitario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;600;Nacional;Responsable;Administración de personal;15;Full time;75000;3;No,  pero escucho ofertas;83.89;1;75000;894.0278936702825;1
Femenino;Universitario en curso;Argentina;Otros;400;Nacional;Analista;Administración de personal;7;Full time;39323;2;Sí, activamente;83.89;1;39323;468.74478483728694;1
Femenino;Universitario completo;Argentina;Comercio;2500;Multinacional;Analista;Generalista;16;Full time;76000;NA;NA;83.89;1;76000;905.9482655858862;1
Masculino;Universitario en curso;Argentina;Otros;63;Multinacional;Pasante;Relaciones laborales;1;Part time;29740;5;No estoy buscando cambiar;83.89;1.5;44610;531.7677911550841;1
Masculino;Maestría en curso;Argentina;Función pública;250;Nacional;Administrativo;Capacitación y desarrollo;1;Full time;47000;2;Sí, activamente;83.89;1;47000;560.2574800333771;1
Femenino;Terciario completo;Argentina;"Agricultura; plantaciones,otros sectores rurales";100;Nacional;Administrativo;Generalista;4;Full time;41000;1;Sí, activamente;83.89;1;41000;488.7352485397544;1
Femenino;Terciario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;90;Nacional;Gerente;Generalista;20;Full time;160000;NA;NA;83.89;1;160000;1907.2595064966026;1
Femenino;Universitario en curso;Argentina;Tecnologías de Información, Sistemas, y afines;300;Nacional;Analista;Administración de personal;2;Full time;37000;4;No,  pero escucho ofertas;83.89;1;37000;441.05376087733936;1
Femenino;Universitario completo;Argentina;Otros;50;Nacional;Analista;Payroll / Liquidación de sueldos;10;Full time;45000;2;Sí, activamente;83.89;1;45000;536.4167362021695;1
Masculino;Terciario completo;Chile;"Bancos; banca online;";5600;Multinacional;Analista;Capacitación y desarrollo;8;Full time;1050000;4;No,  pero escucho ofertas;770.45;1;1050000;1362.8398987604646;1
Femenino;Maestría completa;Argentina;"Petróleo y producción de gas; refinación de petróleo";75000;Multinacional;Responsable;People Analytics;7;Full time;150000;4;No,  pero escucho ofertas;83.89;1;150000;1788.055787340565;1
Femenino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";136;Nacional;Analista;Payroll / Liquidación de sueldos;10;Full time;81500;4;No,  pero escucho ofertas;83.89;1;81500;971.510311121707;1
Femenino;Terciario completo;Argentina;"Alimentación; bebidas; tabaco";1300;Nacional;Analista;Reclutamiento y selección;1;Full time;37000;3;Sí, activamente;83.89;1;37000;441.05376087733936;1
Femenino;Universitario completo;Argentina;Otros;3500;Multinacional;Responsable;RRHH;25;Full time;71000;3;Sí, activamente;83.89;1;71000;846.3464060078675;1
Femenino;Universitario en curso;Argentina;Servicios de salud;30;Nacional;Administrativo;Administración de personal;2;Full time;2;1;Sí, activamente;83.89;1;2;0.023840743831207534;1
Femenino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";6000;Multinacional;Jefe;Generalista;5;Full time;120000;NA;NA;83.89;1;120000;1430.444629872452;1
Masculino;Universitario en curso;Argentina;Servicios de salud;80;Nacional;Jefe;Administración de personal;2;Full time;55000;4;No,  pero escucho ofertas;83.89;1;55000;655.6204553582072;1
Masculino;Universitario completo;Argentina;Otros;120;Multinacional;Responsable;Administración de personal;6;Full time;72000;NA;NA;83.89;1;72000;858.2667779234712;1
Masculino;Universitario completo;Argentina;Educación;2000;Nacional;HRBP;Generalista;6;Full time;75000;NA;NA;83.89;1;75000;894.0278936702825;1
Masculino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;400;Nacional;HRBP;Generalista;6;Full time;60000;NA;NA;83.89;1;60000;715.222314936226;1
